year;month;day;hour;minute;pv
2019;1;1;0;0;5
2019;1;1;1;0;4
2019;1;1;2;0;3
2019;1;1;3;0;2
2019;1;1;4;0;1
2019;1;1;5;0;0
2019;1;1;6;0;1
2019;1;1;7;0;2
2019;1;1;8;0;3
2019;1;1;9;0;4
2019;1;1;10;0;5
2019;1;1;11;0;4
2019;1;1;12;0;3
2019;1;1;13;0;2
2019;1;1;14;0;1
2019;1;1;15;0;0
2019;1;1;16;0;1
2019;1;1;17;0;2
2019;1;1;18;0;3
2019;1;1;19;0;4
2019;1;1;20;0;5
2019;1;1;21;0;4
2019;1;1;22;0;3
2019;1;1;23;0;2
2019;1;2;0;0;1
2019;1;2;1;0;0
2019;1;2;2;0;1
2019;1;2;3;0;2
2019;1;2;4;0;3
2019;1;2;5;0;4
2019;1;2;6;0;5
2019;1;2;7;0;4
2019;1;2;8;0;3
2019;1;2;9;0;2
2019;1;2;10;0;1
2019;1;2;11;0;0
2019;1;2;12;0;1
2019;1;2;13;0;2
2019;1;2;14;0;3
2019;1;2;15;0;4
2019;1;2;16;0;5
2019;1;2;17;0;4
2019;1;2;18;0;3
2019;1;2;19;0;2
2019;1;2;20;0;1
2019;1;2;21;0;0
2019;1;2;22;0;1
2019;1;2;23;0;2
